id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R38-026,Rebuild_Set38,横断複合・重複回避十七段目,case,AIシステムのSLA,AI運用/クラウド,判断/設計,case,安定領域,モデル精度だけがサービス品質と考える罠,顧客向けAIチャットを提供する。モデル精度は高いが、応答遅延や障害時対応が未定である。最も適切な設計観点はどれか。,AIの性能は精度だけなので、応答時間や可用性は対象外である,可用性、遅延、障害時の代替手段、問い合わせ対応、監視指標を決める,LLMはクラウドで動くため、障害は発生しない,回答が正しければ、遅延がどれだけ長くても品質問題にならない,B,AIサービスでは精度に加え、可用性、遅延、監視、障害対応が重要。SLAの観点が必要。,誤り。設問の条件では、AIの性能は精度だけなので、応答時間や可用性は対象外である は適切でない。,正解。AIサービスでは精度に加え、可用性、遅延、監視、障害対応が重要。SLAの観点が必要。,誤り。設問の条件では、LLMはクラウドで動くため、障害は発生しない は適切でない。,誤り。設問の条件では、回答が正しければ、遅延がどれだけ長くても品質問題にならない は適切でない。,モデル精度だけがサービス品質と考える罠,SLA;可用性;推論API;応答遅延;AIサービス運用,未来の返事が正しくても、届くのが遅すぎれば助けにならない。
R38-027,Rebuild_Set38,横断複合・重複回避十七段目,case,ラベルノイズへの対応,教師あり学習/データ品質,判断/評価,case,安定領域,データ量でラベル誤りが消える罠,画像分類の学習データで、似たクラスのラベル誤りが多いことが分かった。最も適切な対応はどれか。,誤りを含むほど現実に近いので、確認せず使う,モデルを大きくすれば、ラベル誤りの影響は必ずなくなる,ラベル基準を見直し、サンプル確認や再アノテーション、影響評価を行う,テストデータにも同じ誤りを混ぜれば、評価として問題ない,C,ラベルノイズは性能や評価を歪める。基準の明確化、再アノテーション、影響分析が必要。,誤り。設問の条件では、誤りを含むほど現実に近いので、確認せず使う は適切でない。,誤り。設問の条件では、モデルを大きくすれば、ラベル誤りの影響は必ずなくなる は適切でない。,正解。ラベルノイズは性能や評価を歪める。基準の明確化、再アノテーション、影響分析が必要。,誤り。設問の条件では、テストデータにも同じ誤りを混ぜれば、評価として問題ない は適切でない。,データ量でラベル誤りが消える罠,ラベルノイズ;アノテーション;教師あり学習;データ品質;評価,黒と影の名前を間違えたまま覚えると、あとで全部迷う。
R38-028,Rebuild_Set38,横断複合・重複回避十七段目,case,因果と相関の区別,数理/社会実装,理解/判断,case,安定領域,相関があれば施策効果とみなす罠,学習アプリで「通知を受けたユーザーほど継続率が高い」と分かった。通知が継続率を上げたと判断する前に必要な考え方はどれか。,相関があるので通知の効果は確定である,継続意欲の高い人だけ通知を許可した可能性は無視できる,交絡要因や選択バイアスを考慮し、実験や因果推論で確認する,AI分析で得た相関は、通常の統計より常に因果に近い,C,相関は因果を意味しない。交絡や選択バイアスを考慮し、A/Bテストなどで効果を検証する。,誤り。設問の条件では、相関があるので通知の効果は確定である は適切でない。,誤り。設問の条件では、継続意欲の高い人だけ通知を許可した可能性は無視できる は適切でない。,正解。相関は因果を意味しない。交絡や選択バイアスを考慮し、A/Bテストなどで効果を検証する。,誤り。設問の条件では、AI分析で得た相関は、通常の統計より常に因果に近い は適切でない。,相関があれば施策効果とみなす罠,因果推論;相関;交絡;A/Bテスト;選択バイアス,うっけが走った日に晴れが多くても、うっけが天気を作ったとは限らない。
R38-029,Rebuild_Set38,横断複合・重複回避十七段目,case,LLMの長文コンテキスト,生成AI/LLM,判断/設計,case,新しめ,長い文脈窓なら全部正確に読む罠,長い契約書をLLMに入れて要約する。コンテキスト長は十分だが、重要条項の見落としが怖い。最も適切な対応はどれか。,長いコンテキストに入れば、モデルは必ず全条項を同じ精度で扱う,要約だけを信じ、原文確認は不要にする,条項単位で分割し、重要項目チェックリストや引用付き確認を組み合わせる,文書が長いほど、ハルシネーションは必ず減る,C,長い文脈でも重要情報の見落としは起こり得る。分割、チェックリスト、引用確認が有効。,誤り。設問の条件では、長いコンテキストに入れば、モデルは必ず全条項を同じ精度で扱う は適切でない。,誤り。設問の条件では、要約だけを信じ、原文確認は不要にする は適切でない。,正解。長い文脈でも重要情報の見落としは起こり得る。分割、チェックリスト、引用確認が有効。,誤り。設問の条件では、文書が長いほど、ハルシネーションは必ず減る は適切でない。,長い文脈窓なら全部正確に読む罠,長文コンテキスト;契約書要約;LLM;引用確認;チェックリスト,長い廊下を一度に見ても、足元の落とし穴は別に見る。
R38-030,Rebuild_Set38,横断複合・重複回避十七段目,case,再現性と乱数種,実験管理/再現性,理解/運用,case,安定領域,コードが同じなら結果も完全一致する罠,同じデータとコードで学習したが、毎回少し結果が違う。実験再現性のために重要な対応はどれか。,AIは確率的なので、結果差は記録しなくてよい,最も良かった結果だけを報告すれば十分である,乱数種、ライブラリバージョン、データ分割、実行環境を記録する,再現性は研究だけの話で、実務では不要である,C,乱数初期化や環境差で結果が変わることがある。再現性には条件の記録が必要。,誤り。設問の条件では、AIは確率的なので、結果差は記録しなくてよい は適切でない。,誤り。設問の条件では、最も良かった結果だけを報告すれば十分である は適切でない。,正解。乱数初期化や環境差で結果が変わることがある。再現性には条件の記録が必要。,誤り。設問の条件では、再現性は研究だけの話で、実務では不要である は適切でない。,コードが同じなら結果も完全一致する罠,再現性;乱数種;実験管理;ライブラリバージョン;データ分割,さいはてで同じ観測をするなら、風向きまで書いておく。
R38-031,Rebuild_Set38,横断複合・重複回避十七段目,case,特徴量の未来情報,機械学習/リーケージ,判断/評価,case,安定領域,予測時に使えない特徴を混ぜる罠,退会予測モデルに「退会手続きページ訪問後のアンケート回答」を特徴量として入れると高精度になった。問題点として最も適切なのはどれか。,高精度なので問題はない,アンケートはユーザー情報なので、特徴量として常に適切である,予測時点で利用できない未来情報が混入し、実運用性能を過大評価する,説明変数が増えるほど、リーケージは起きにくくなる,C,予測時点で入手できない情報を使うとデータリーケージになる。時点をそろえた特徴量設計が必要。,誤り。設問の条件では、高精度なので問題はない は適切でない。,誤り。設問の条件では、アンケートはユーザー情報なので、特徴量として常に適切である は適切でない。,正解。予測時点で入手できない情報を使うとデータリーケージになる。時点をそろえた特徴量設計が必要。,誤り。設問の条件では、説明変数が増えるほど、リーケージは起きにくくなる は適切でない。,予測時に使えない特徴を混ぜる罠,データリーケージ;未来情報;退会予測;特徴量設計;時点,未来の手紙を読んで今の正解を出すのは、試験では反則。
R38-032,Rebuild_Set38,横断複合・重複回避十七段目,case,モデルの公平性評価,AI倫理/評価,判断/倫理,case,安定領域,全体精度が高ければ公平と考える罠,採用スクリーニングAIの全体精度は高いが、特定属性グループで見逃しが多い可能性がある。最も適切な評価はどれか。,全体精度が高いなら属性別評価は不要である,属性情報を見ないモデルなら偏りは絶対に生じない,属性グループ別の指標を確認し、差が大きい場合は原因と対策を検討する,公平性は主観なので、定量評価には向かない,C,全体性能だけではグループごとの不利益を見落とす。属性別評価が重要。,誤り。設問の条件では、全体精度が高いなら属性別評価は不要である は適切でない。,誤り。設問の条件では、属性情報を見ないモデルなら偏りは絶対に生じない は適切でない。,正解。全体性能だけではグループごとの不利益を見落とす。属性別評価が重要。,誤り。設問の条件では、公平性は主観なので、定量評価には向かない は適切でない。,全体精度が高ければ公平と考える罠,公平性;属性別評価;採用AI;バイアス;グループ公平性,クラス全体は笑っていても、りっかだけ困っていないかを見る。
R38-033,Rebuild_Set38,横断複合・重複回避十七段目,case,モデル蒸留の目的,モデル軽量化/運用,理解/判断,case,安定領域,蒸留で必ず教師を超える罠,大規模モデルを本番環境で動かすにはコストが高いため、モデル蒸留を検討する。最も適切な説明はどれか。,教師モデルを削除するだけで、学習なしに小型化できる,蒸留すれば、生徒モデルは常に教師モデルより高性能になる,大きな教師モデルの出力を利用して、小さな生徒モデルを学習させる,蒸留は画像モデルだけに使われ、言語モデルには関係しない,C,モデル蒸留は教師モデルの知識を小型モデルへ移す手法。性能と効率のトレードオフがある。,誤り。設問の条件では、教師モデルを削除するだけで、学習なしに小型化できる は適切でない。,誤り。設問の条件では、蒸留すれば、生徒モデルは常に教師モデルより高性能になる は適切でない。,正解。モデル蒸留は教師モデルの知識を小型モデルへ移す手法。性能と効率のトレードオフがある。,誤り。設問の条件では、蒸留は画像モデルだけに使われ、言語モデルには関係しない は適切でない。,蒸留で必ず教師を超える罠,モデル蒸留;教師モデル;生徒モデル;軽量化;推論コスト,大きな地図を、小さな紙に移して持ち歩く。
R38-034,Rebuild_Set38,横断複合・重複回避十七段目,case,データ最小化,プライバシー/設計,判断/法務,case,新しめ,後で使うかもで全部集める罠,AIサービスの改善のため、入力された会話、位置情報、連絡先をすべて保存したいという案が出た。最も適切な考え方はどれか。,将来使う可能性があれば、目的を決めずに全て保存してよい,AI改善目的なら、本人に分かりにくい形で広く集めてもよい,目的に必要な範囲に絞り、取得項目・保存期間・利用目的を明確にする,大量データほどAIが賢くなるため、データ最小化はAIでは不要である,C,プライバシー保護では利用目的に照らして必要な範囲に絞ることが重要。保存期間も定める。,誤り。設問の条件では、将来使う可能性があれば、目的を決めずに全て保存してよい は適切でない。,誤り。設問の条件では、AI改善目的なら、本人に分かりにくい形で広く集めてもよい は適切でない。,正解。プライバシー保護では利用目的に照らして必要な範囲に絞ることが重要。保存期間も定める。,誤り。設問の条件では、大量データほどAIが賢くなるため、データ最小化はAIでは不要である は適切でない。,後で使うかもで全部集める罠,データ最小化;利用目的;保存期間;個人情報;AIサービス,さいはてで全部の記憶を抱えると、透明度が落ちる。
R38-035,Rebuild_Set38,横断複合・重複回避十七段目,case,自動運転のODD,自動運転/安全設計,判断/運用,case,安定領域,限定条件を超えて使えると考える罠,自動運転機能が高速道路・晴天・明瞭な車線を前提に検証されている。利用者が市街地や豪雨でも同じ機能を使おうとしている。最も適切な説明はどれか。,一度自動運転と呼べるなら、道路や天候の条件は関係ない,利用者の注意力に任せれば、設計条件の説明は不要である,ODDなど運行設計領域を明示し、範囲外では使用させない設計や警告が必要である,高速道路で安全なら、豪雨の市街地でも必ず安全である,C,自動運転やAIシステムは想定された利用条件の範囲で評価される。ODDの明示と範囲外利用の抑止が重要。,誤り。設問の条件では、一度自動運転と呼べるなら、道路や天候の条件は関係ない は適切でない。,誤り。設問の条件では、利用者の注意力に任せれば、設計条件の説明は不要である は適切でない。,正解。自動運転やAIシステムは想定された利用条件の範囲で評価される。ODDの明示と範囲外利用の抑止が重要。,誤り。設問の条件では、高速道路で安全なら、豪雨の市街地でも必ず安全である は適切でない。,限定条件を超えて使えると考える罠,ODD;自動運転;運行設計領域;安全設計;範囲外利用,さいはての橋にも、渡れる天気と渡ってはいけない風がある。
R38-036,Rebuild_Set38,横断複合・重複回避十七段目,case,検索クエリの個人情報,RAG/プライバシー,判断/運用,case,新しめ,検索語は本文ではないから安全と考える罠,社内RAGの検索ログに、社員が入力した相談内容や顧客名が残っている。最も適切な対応はどれか。,検索ログは文書本体ではないので、機密情報にはなり得ない,ログは改善に使えるため、誰でも閲覧できるようにする,ログの機微性を評価し、マスキング、アクセス制限、保存期間を設ける,RAGの検索語は短いので、個人情報保護の対象外である,C,検索クエリにも個人情報や機密情報が含まれる可能性がある。ログ管理が重要。,誤り。設問の条件では、検索ログは文書本体ではないので、機密情報にはなり得ない は適切でない。,誤り。設問の条件では、ログは改善に使えるため、誰でも閲覧できるようにする は適切でない。,正解。検索クエリにも個人情報や機密情報が含まれる可能性がある。ログ管理が重要。,誤り。設問の条件では、RAGの検索語は短いので、個人情報保護の対象外である は適切でない。,検索語は本文ではないから安全と考える罠,検索ログ;RAG;個人情報;アクセス制限;マスキング;保存期間,つぶやきの一言にも、名前や秘密が混ざることがある。
R38-037,Rebuild_Set38,横断複合・重複回避十七段目,case,評価データの流出と汚染,LLM評価/データ管理,判断/評価,case,新しめ,評価セットを公開しても影響しない罠,社内LLM評価に使う問題セットを、開発チームがプロンプト改善例として何度も参照している。最も適切な懸念はどれか。,評価セットを見ながら改善しても、評価の独立性は全く失われない,評価問題は文章なので、モデル改善には影響しない,評価セットへの過適合や汚染が起き、実力を過大評価する可能性がある,評価データは多いほど、開発中に全て共有すべきである,C,評価セットを開発に使うと、テストデータへの過適合やベンチマーク汚染が起きる可能性がある。,誤り。設問の条件では、評価セットを見ながら改善しても、評価の独立性は全く失われない は適切でない。,誤り。設問の条件では、評価問題は文章なので、モデル改善には影響しない は適切でない。,正解。評価セットを開発に使うと、テストデータへの過適合やベンチマーク汚染が起きる可能性がある。,誤り。設問の条件では、評価データは多いほど、開発中に全て共有すべきである は適切でない。,評価セットを公開しても影響しない罠,評価データ;ベンチマーク汚染;LLM評価;過適合;テストデータ,答え合わせの紙を見ながら練習すると、本番の力は分からない。
R38-038,Rebuild_Set38,横断複合・重複回避十七段目,case,過剰な個別最適化,推薦AI/倫理,判断/社会実装,case,安定領域,短期クリック最適化だけを見る罠,動画推薦で視聴時間は伸びたが、似た内容ばかり表示され、利用者の選択肢が狭くなる懸念が出た。最も適切な見直しはどれか。,視聴時間が伸びているので、他の指標は不要である,個別最適化が進むほど、社会的影響は必ず良くなる,多様性、探索性、利用者満足、長期影響を評価指標に加える,推薦AIでは、フィルターバブルは理論上発生しない,C,推薦では短期クリックや視聴時間だけでなく、多様性や長期的影響も見る必要がある。,誤り。設問の条件では、視聴時間が伸びているので、他の指標は不要である は適切でない。,誤り。設問の条件では、個別最適化が進むほど、社会的影響は必ず良くなる は適切でない。,正解。推薦では短期クリックや視聴時間だけでなく、多様性や長期的影響も見る必要がある。,誤り。設問の条件では、推薦AIでは、フィルターバブルは理論上発生しない は適切でない。,短期クリック最適化だけを見る罠,推薦AI;フィルターバブル;多様性;長期影響;視聴時間,同じ道だけ歩かせると、町の外側を忘れる。
R38-039,Rebuild_Set38,横断複合・重複回避十七段目,case,RAGの更新頻度,生成AI/RAG,判断/運用,case,新しめ,最新文書を入れれば常に正しい罠,法令FAQのRAGで、古い文書と新しい文書が混在している。回答が古い根拠を参照するリスクがある。最も適切な運用はどれか。,古い文書も情報なので、常に新文書と同じ重みで検索させる,LLMに「最新を優先」と書けば、文書管理は不要である,文書数が多いほど正しいので、廃止文書も削除しない,版管理、有効期限、廃止文書の除外、更新時の再評価を行う,D,RAGでは知識源の版管理が重要。古い文書を参照しないよう、有効期限や廃止フラグを管理する。,誤り。設問の条件では、古い文書も情報なので、常に新文書と同じ重みで検索させる は適切でない。,誤り。設問の条件では、LLMに「最新を優先」と書けば、文書管理は不要である は適切でない。,誤り。設問の条件では、文書数が多いほど正しいので、廃止文書も削除しない は適切でない。,正解。RAGでは知識源の版管理が重要。古い文書を参照しないよう、有効期限や廃止フラグを管理する。,最新文書を入れれば常に正しい罠,RAG;版管理;有効期限;法令FAQ;文書更新,古い地図と新しい地図を混ぜると、ない橋を渡ろうとする。
R38-040,Rebuild_Set38,横断複合・重複回避十七段目,case,SHAP値の読み方,XAI/評価,理解/判断,case,安定領域,説明値を因果効果とみなす罠,融資モデルでSHAP値を使い、ある特徴量が予測に強く寄与していると分かった。最も適切な理解はどれか。,SHAP値が大きい特徴量は、必ず現実の原因である,SHAP値を見れば、モデルの偏りは自動的に消える,SHAP値がゼロなら、その特徴量はデータに一切存在しない,モデル予測への寄与を示すものであり、因果関係とは区別する,D,SHAPはモデルの予測に対する特徴量寄与の説明であり、因果効果を直接示すものではない。,誤り。設問の条件では、SHAP値が大きい特徴量は、必ず現実の原因である は適切でない。,誤り。設問の条件では、SHAP値を見れば、モデルの偏りは自動的に消える は適切でない。,誤り。設問の条件では、SHAP値がゼロなら、その特徴量はデータに一切存在しない は適切でない。,正解。SHAPはモデルの予測に対する特徴量寄与の説明であり、因果効果を直接示すものではない。,説明値を因果効果とみなす罠,SHAP;説明可能性;因果関係;特徴量寄与;融資モデル,影が濃い場所は分かるが、影を作った原因とは限らない。
R38-041,Rebuild_Set38,横断複合・重複回避十七段目,case,オンライン学習の監視,機械学習/運用,判断/運用,case,安定領域,自動更新なら保守不要と考える罠,オンライン学習でモデルを継続更新する。誤ったラベルや攻撃的データが混入する可能性がある。最も適切な注意はどれか。,自動で学習するほど、人間の監視は不要になる,最新データを常に全て信用して学習する,古いデータを使わなければ、ドリフトは必ず解決する,入力品質監視、異常更新検知、ロールバック、学習停止条件を用意する,D,オンライン学習ではデータ汚染や意図しない更新が起こり得る。監視と戻す仕組みが重要。,誤り。設問の条件では、自動で学習するほど、人間の監視は不要になる は適切でない。,誤り。設問の条件では、最新データを常に全て信用して学習する は適切でない。,誤り。設問の条件では、古いデータを使わなければ、ドリフトは必ず解決する は適切でない。,正解。オンライン学習ではデータ汚染や意図しない更新が起こり得る。監視と戻す仕組みが重要。,自動更新なら保守不要と考える罠,オンライン学習;データ汚染;ロールバック;学習停止;モデル監視,流れる川で学ぶなら、毒が流れてきた時に止める板が必要。
R38-042,Rebuild_Set38,横断複合・重複回避十七段目,case,AI契約の成果物範囲,AI契約/法務,判断/契約,case,新しめ,モデルだけを成果物と考える罠,AI開発委託で、納品物としてモデルファイルだけが定義されている。運用後の検証や再現が不安である。契約上確認すべき事項はどれか。,モデルファイルさえあれば、データ仕様や評価手順は不要である,AI開発では成果物の範囲を契約で決める必要はない,受託者が作ったものは常に発注者が自由に再利用できる,データ仕様、学習条件、評価結果、再学習手順、権利帰属、保守範囲を明確にする,D,AI契約ではモデルだけでなく、データ、評価、権利、保守、再学習条件を定めることが重要。,誤り。設問の条件では、モデルファイルさえあれば、データ仕様や評価手順は不要である は適切でない。,誤り。設問の条件では、AI開発では成果物の範囲を契約で決める必要はない は適切でない。,誤り。設問の条件では、受託者が作ったものは常に発注者が自由に再利用できる は適切でない。,正解。AI契約ではモデルだけでなく、データ、評価、権利、保守、再学習条件を定めることが重要。,モデルだけを成果物と考える罠,AI契約;成果物;権利帰属;評価結果;保守;再学習,道具だけ受け取っても、作り方と直し方がないと未来で困る。
R38-043,Rebuild_Set38,横断複合・重複回避十七段目,case,外れ値処理の注意,データ前処理/評価,判断/データ品質,case,安定領域,外れ値を全部消せば良い罠,需要予測データに、災害時の極端な需要増が外れ値として含まれている。最も適切な扱いはどれか。,外れ値はモデルを乱すため、理由を問わずすべて削除する,平均値で置換すれば、災害時の特徴をより正確に学習できる,外れ値処理はモデル選択後にだけ考えればよい,業務上意味のある異常か入力誤りかを確認し、目的に応じて扱いを決める,D,外れ値には入力ミスと重要な希少事象がある。目的を踏まえて判断する必要がある。,誤り。設問の条件では、外れ値はモデルを乱すため、理由を問わずすべて削除する は適切でない。,誤り。設問の条件では、平均値で置換すれば、災害時の特徴をより正確に学習できる は適切でない。,誤り。設問の条件では、外れ値処理はモデル選択後にだけ考えればよい は適切でない。,正解。外れ値には入力ミスと重要な希少事象がある。目的を踏まえて判断する必要がある。,外れ値を全部消せば良い罠,外れ値;需要予測;災害需要;データ前処理;希少事象,黒が珍しいからと消したら、いちばん大事な兆しを失う。
R38-044,Rebuild_Set38,横断複合・重複回避十七段目,case,RAGと著作権,生成AI/著作権,判断/法務,case,新しめ,検索利用なら権利確認不要と考える罠,有料記事を社内RAGに取り込み、社員の質問に回答させたい。最も適切な確認はどれか。,RAGは文書を丸写ししないので、契約や利用条件の確認は不要である,社内利用なら、どの外部記事も自由に全文取り込める,回答に引用を出さなければ、権利上の問題は常に発生しない,購読契約、利用規約、複製・保存・共有範囲、引用表示の要否を確認する,D,外部コンテンツをRAGに取り込む場合、契約・規約・著作権上の扱いを確認する必要がある。,誤り。設問の条件では、RAGは文書を丸写ししないので、契約や利用条件の確認は不要である は適切でない。,誤り。設問の条件では、社内利用なら、どの外部記事も自由に全文取り込める は適切でない。,誤り。設問の条件では、回答に引用を出さなければ、権利上の問題は常に発生しない は適切でない。,正解。外部コンテンツをRAGに取り込む場合、契約・規約・著作権上の扱いを確認する必要がある。,検索利用なら権利確認不要と考える罠,RAG;著作権;利用規約;有料記事;複製;引用,借りた本を記録庫に写すなら、借り方の約束を見直す。
R38-045,Rebuild_Set38,横断複合・重複回避十七段目,case,モデルの温度設定,生成AI/LLM,理解/判断,case,新しめ,温度を変えれば事実性が保証される罠,LLMの回答が毎回少し違うため、temperatureを下げる設定を検討している。最も適切な理解はどれか。,temperatureを下げると、回答の事実誤りは必ずゼロになる,temperatureを上げるほど、回答は常に根拠に忠実になる,temperatureは学習データの品質を直接改善する設定である,出力のランダム性を抑える効果はあるが、事実確認や根拠参照は別に必要である,D,temperatureは生成の多様性に関わる設定で、事実性を保証するものではない。,誤り。設問の条件では、temperatureを下げると、回答の事実誤りは必ずゼロになる は適切でない。,誤り。設問の条件では、temperatureを上げるほど、回答は常に根拠に忠実になる は適切でない。,誤り。設問の条件では、temperatureは学習データの品質を直接改善する設定である は適切でない。,正解。temperatureは生成の多様性に関わる設定で、事実性を保証するものではない。,温度を変えれば事実性が保証される罠,temperature;LLM;生成多様性;ハルシネーション;事実確認,声の揺れを小さくしても、言っている内容が真実とは限らない。
R38-046,Rebuild_Set38,横断複合・重複回避十七段目,case,データ拡張の限界,画像認識/データ拡張,判断/評価,case,安定領域,増やせば常に汎化する罠,画像分類でデータ拡張を行う。上下反転を加えたところ性能が悪化した。最も適切な理由として考えられるものはどれか。,データ拡張は常に性能を改善するため、悪化は測定ミスである,上下反転は全ての画像タスクで意味を保つ変換である,データ拡張を使うと過学習は必ず消える,タスクによっては、上下反転がラベルの意味や現実の見え方を壊す,D,データ拡張は意味を保つ変換である必要がある。タスクに合わない拡張は性能を下げる。,誤り。設問の条件では、データ拡張は常に性能を改善するため、悪化は測定ミスである は適切でない。,誤り。設問の条件では、上下反転は全ての画像タスクで意味を保つ変換である は適切でない。,誤り。設問の条件では、データ拡張を使うと過学習は必ず消える は適切でない。,正解。データ拡張は意味を保つ変換である必要がある。タスクに合わない拡張は性能を下げる。,増やせば常に汎化する罠,データ拡張;画像分類;上下反転;汎化;ラベル意味,地図を逆さにしても同じ町とは限らない。
R38-047,Rebuild_Set38,横断複合・重複回避十七段目,case,MLOpsの責任分界,MLOps/組織,判断/運用,case,安定領域,デプロイ後は開発者だけの責任とする罠,本番AIの誤判定が発生した。開発、運用、業務部門のどこが何を確認するか決まっていない。最も適切な改善はどれか。,AIなので、誤判定の責任はモデルを作ったデータサイエンティストだけにある,利用者が最終判断すれば、組織側の運用責任はない,障害が起きてから毎回担当者を探せば十分である,監視、問い合わせ、原因分析、再学習、停止判断の責任分界を事前に定める,D,AI運用では役割と責任を事前に決めておく必要がある。インシデント時の対応も含める。,誤り。設問の条件では、AIなので、誤判定の責任はモデルを作ったデータサイエンティストだけにある は適切でない。,誤り。設問の条件では、利用者が最終判断すれば、組織側の運用責任はない は適切でない。,誤り。設問の条件では、障害が起きてから毎回担当者を探せば十分である は適切でない。,正解。AI運用では役割と責任を事前に決めておく必要がある。インシデント時の対応も含める。,デプロイ後は開発者だけの責任とする罠,MLOps;責任分界;インシデント対応;監視;再学習,誰が橋を見るのか決まっていないと、壊れてから全員が立ち尽くす。
R38-048,Rebuild_Set38,横断複合・重複回避十七段目,case,二値分類の閾値と事業KPI,評価指標/事業,判断/評価,case,安定領域,AUCが高いなら閾値不要と考える罠,解約予測モデルのAUCは高いが、実際に営業がフォローできる件数は限られている。最も適切な運用はどれか。,AUCが高ければ、どの閾値でも事業成果は同じである,予測確率を使わず、全顧客に同じフォローを行う,閾値は統計担当者だけで決め、営業リソースは考慮しない,フォロー可能件数、期待効果、誤対応コストを踏まえて閾値や上位抽出数を決める,D,AUCは順位性能を示すが、実務では閾値や上位何件を扱うかが重要。リソース制約を考える。,誤り。設問の条件では、AUCが高ければ、どの閾値でも事業成果は同じである は適切でない。,誤り。設問の条件では、予測確率を使わず、全顧客に同じフォローを行う は適切でない。,誤り。設問の条件では、閾値は統計担当者だけで決め、営業リソースは考慮しない は適切でない。,正解。AUCは順位性能を示すが、実務では閾値や上位何件を扱うかが重要。リソース制約を考える。,AUCが高いなら閾値不要と考える罠,AUC;閾値;解約予測;事業KPI;リソース制約,黒の可能性が高い場所から、行ける人数で見に行く。
R38-049,Rebuild_Set38,横断複合・重複回避十七段目,case,AIリテラシー教育,AI利用/組織,判断/教育,case,新しめ,禁止だけで安全になる罠,社員に生成AI利用を許可するが、誤情報や機密入力が心配である。最も適切な教育内容はどれか。,危ないので、何も説明せず利用を全面禁止するだけで十分である,便利なプロンプト例だけ教え、リスク説明は省く,AIの出力は必ず正しいと教え、確認作業を減らす,入力してよい情報、確認手順、出典確認、禁止事項、相談窓口を具体的に示す,D,生成AI利用では、禁止だけでなく具体的な使い方、確認方法、相談先を教育することが重要。,誤り。設問の条件では、危ないので、何も説明せず利用を全面禁止するだけで十分である は適切でない。,誤り。設問の条件では、便利なプロンプト例だけ教え、リスク説明は省く は適切でない。,誤り。設問の条件では、AIの出力は必ず正しいと教え、確認作業を減らす は適切でない。,正解。生成AI利用では、禁止だけでなく具体的な使い方、確認方法、相談先を教育することが重要。,禁止だけで安全になる罠,生成AIリテラシー;機密情報;ファクトチェック;利用ルール;社員教育,ミチの使い方は、魔法の呪文ではなく約束ごととして教える。
R38-050,Rebuild_Set38,横断複合・重複回避十七段目,case,基盤モデルの転用リスク,基盤モデル/社会実装,判断/倫理,case,新しめ,汎用モデルならどの用途にも適する罠,汎用基盤モデルを医療相談チャットに転用したい。最も適切な確認はどれか。,基盤モデルは汎用なので、医療用途の検証は不要である,自然な文章が返るなら、専門家監修は不要である,利用者が自己責任で読むなら、安全設計は不要である,医療用途での性能、禁忌回答、免責表示、専門家確認、緊急時導線を検討する,D,基盤モデルを高リスク用途へ転用する場合、用途別評価と安全設計が重要。,誤り。設問の条件では、基盤モデルは汎用なので、医療用途の検証は不要である は適切でない。,誤り。設問の条件では、自然な文章が返るなら、専門家監修は不要である は適切でない。,誤り。設問の条件では、利用者が自己責任で読むなら、安全設計は不要である は適切でない。,正解。基盤モデルを高リスク用途へ転用する場合、用途別評価と安全設計が重要。,汎用モデルならどの用途にも適する罠,基盤モデル;医療AI;用途別評価;安全設計;禁忌回答,さいはての道具が万能でも、命に関わる扉には別の確認がいる。
