id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R20-029,Rebuild_Set20,検索性重視・非重複50問,case,セキュリティ・バイ・デザイン,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIエージェントを作る段階で、認証、権限、監査ログ、外部ツール制限をあらかじめ設計した。最も近いものはどれか。,事後の手作業修正だけに頼る考え,セキュリティ・バイ・デザイン,画像分類のデータ拡張,教師なしクラスタリング,B,セキュリティ・バイ・デザインは、企画・設計段階から安全対策を組み込む考え方。,誤り。事後の手作業修正だけに頼る考えは、この設問で問う「セキュリティ・バイ・デザイン」の説明としては適切でない。,正しい。セキュリティ・バイ・デザイン。,誤り。画像分類のデータ拡張は、この設問で問う「セキュリティ・バイ・デザイン」の説明としては適切でない。,誤り。教師なしクラスタリングは、この設問で問う「セキュリティ・バイ・デザイン」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,セキュリティ・バイ・デザイン;AIエージェント;監査ログ;外部ツール,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-030,Rebuild_Set20,検索性重視・非重複50問,case,アクセシビリティ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIチャットの回答を読み上げ対応にし、色だけに頼らないエラー表示を用意した。最も近い観点はどれか。,アクセシビリティ,ミニマックス法,正則化,自己回帰,A,アクセシビリティは、障害の有無などにかかわらず使いやすい設計にする観点。AIサービスにも関係する。,正しい。アクセシビリティ。,誤り。ミニマックス法は、この設問で問う「アクセシビリティ」の説明としては適切でない。,誤り。正則化は、この設問で問う「アクセシビリティ」の説明としては適切でない。,誤り。自己回帰は、この設問で問う「アクセシビリティ」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,アクセシビリティ;読み上げ;UI;インクルーシブデザイン,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-031,Rebuild_Set20,検索性重視・非重複50問,case,インクルーシブデザイン,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIサービスを高齢者、外国語話者、障害のある利用者にも使いやすいよう、初期段階から多様な利用者で検証した。最も近い考え方はどれか。,ハイパーパラメータ探索,L2正則化,勾配降下法,インクルーシブデザイン,D,インクルーシブデザインは、多様な利用者を前提に設計する考え方。平均的利用者だけを想定しない。,誤り。ハイパーパラメータ探索は、この設問で問う「インクルーシブデザイン」の説明としては適切でない。,誤り。L2正則化は、この設問で問う「インクルーシブデザイン」の説明としては適切でない。,誤り。勾配降下法は、この設問で問う「インクルーシブデザイン」の説明としては適切でない。,正しい。インクルーシブデザイン。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,インクルーシブデザイン;多様な利用者;アクセシビリティ;AIサービス,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-032,Rebuild_Set20,検索性重視・非重複50問,case,公平性評価,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,モデル全体の正解率は高いが、特定属性のグループだけ誤判定率が高いことを確認した。次に重視すべき観点はどれか。,全体正解率だけで導入する,学習率を上げれば公平性は必ず解決する,グループごとの公平性・性能差の確認,属性別評価は禁止すべきである,C,公平性評価では、全体性能だけでなく、グループごとの性能差や不利益を確認することが重要。,誤り。全体正解率だけで導入するは、この設問で問う「公平性評価」の説明としては適切でない。,誤り。学習率を上げれば公平性は必ず解決するは、この設問で問う「公平性評価」の説明としては適切でない。,正しい。グループごとの公平性・性能差の確認。,誤り。属性別評価は禁止すべきであるは、この設問で問う「公平性評価」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,公平性評価;属性別性能;バイアス;グループ差,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-033,Rebuild_Set20,検索性重視・非重複50問,term,交差的バイアス,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,高,性別だけ、年齢だけでは見えないが、複数属性が重なる集団で不利益が大きくなる問題として最も近いものはどれか。,交差的・複合的なバイアス,バッチ正規化,データ拡張,軌道最適化,A,複数属性が重なることで不利益が現れる場合がある。単一属性だけの評価では見落とす可能性がある。,正しい。交差的・複合的なバイアス。,誤り。バッチ正規化は、この設問で問う「交差的バイアス」の説明としては適切でない。,誤り。データ拡張は、この設問で問う「交差的バイアス」の説明としては適切でない。,誤り。軌道最適化は、この設問で問う「交差的バイアス」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,交差的バイアス;複合差別;公平性;属性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-034,Rebuild_Set20,検索性重視・非重複50問,case,フィードバックループ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,推薦AIが人気商品だけを表示し続け、さらに人気商品のデータだけが増えて推薦が固定化した。最も近い問題はどれか。,勾配消失,フィードバックループによる偏りの強化,量子化誤差だけの問題,プーリングによる位置ずれ,B,AIの出力が利用者行動を変え、その結果データがさらに偏ることがある。推薦やランキングで注意が必要。,誤り。勾配消失は、この設問で問う「フィードバックループ」の説明としては適切でない。,正しい。フィードバックループによる偏りの強化。,誤り。量子化誤差だけの問題は、この設問で問う「フィードバックループ」の説明としては適切でない。,誤り。プーリングによる位置ずれは、この設問で問う「フィードバックループ」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,フィードバックループ;推薦;人気バイアス;データ偏り,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-035,Rebuild_Set20,検索性重視・非重複50問,case,環境負荷,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,大規模モデルの学習・推論に必要な電力や計算資源も評価項目に加えた。最も近い観点はどれか。,活性化関数の微分,探索木の枝刈り,AIの環境負荷・サステナビリティ,教師ラベルの付与だけ,C,大規模AIでは、性能だけでなく、計算資源・電力・環境負荷も社会実装上の論点になる。,誤り。活性化関数の微分は、この設問で問う「環境負荷」の説明としては適切でない。,誤り。探索木の枝刈りは、この設問で問う「環境負荷」の説明としては適切でない。,正しい。AIの環境負荷・サステナビリティ。,誤り。教師ラベルの付与だけは、この設問で問う「環境負荷」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,環境負荷;サステナビリティ;計算資源;大規模モデル,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-036,Rebuild_Set20,検索性重視・非重複50問,case,推論コスト,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,高性能モデルを採用したが、問い合わせごとの費用と遅延が大きく、業務利用に耐えなかった。見落としていた観点はどれか。,訓練データの正解ラベル名,XOR問題だけ,意味ネットワークのis-a関係,推論コストとレイテンシ,D,AI導入では精度だけでなく、推論コスト、応答時間、運用負荷も評価する必要がある。,誤り。訓練データの正解ラベル名は、この設問で問う「推論コスト」の説明としては適切でない。,誤り。XOR問題だけは、この設問で問う「推論コスト」の説明としては適切でない。,誤り。意味ネットワークのis-a関係は、この設問で問う「推論コスト」の説明としては適切でない。,正しい。推論コストとレイテンシ。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,推論コスト;レイテンシ;運用負荷;LLM,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-037,Rebuild_Set20,検索性重視・非重複50問,case,ベンダーロックイン,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,特定クラウドAIの独自APIに強く依存し、乗り換えが難しくなった。最も近いリスクはどれか。,ベンダーロックイン,過少適合,重み減衰,形態素解析,A,ベンダーロックインは、特定の提供者・技術に依存し、移行コストが大きくなるリスク。AIサービス選定でも重要。,正しい。ベンダーロックイン。,誤り。過少適合は、この設問で問う「ベンダーロックイン」の説明としては適切でない。,誤り。重み減衰は、この設問で問う「ベンダーロックイン」の説明としては適切でない。,誤り。形態素解析は、この設問で問う「ベンダーロックイン」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,ベンダーロックイン;クラウドAI;API依存;移行コスト,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-038,Rebuild_Set20,検索性重視・非重複50問,case,SLA,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,中,AI APIの稼働率、応答時間、障害時対応などを契約上確認した。最も近いものはどれか。,ROC-AUC,SLA・サービスレベル合意,one-hotエンコーディング,シグモイド関数,B,SLAは、サービスの提供水準を定める合意。AI API利用では稼働率や障害対応が業務継続に関わる。,誤り。ROC-AUCは、この設問で問う「SLA」の説明としては適切でない。,正しい。SLA・サービスレベル合意。,誤り。one-hotエンコーディングは、この設問で問う「SLA」の説明としては適切でない。,誤り。シグモイド関数は、この設問で問う「SLA」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,SLA;AI API;稼働率;応答時間,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-039,Rebuild_Set20,検索性重視・非重複50問,case,外部委託管理,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AI開発を外部委託する際、データの扱い、再委託、成果物の権利、セキュリティ要件を確認した。最も近い観点はどれか。,学習率スケジューリング,畳み込みカーネルのサイズ調整,委託先管理・契約上のリスク管理,クラスタ数の自動決定,C,外部委託では、データ管理、権利、セキュリティ、責任分担などを契約・運用で確認する必要がある。,誤り。学習率スケジューリングは、この設問で問う「外部委託管理」の説明としては適切でない。,誤り。畳み込みカーネルのサイズ調整は、この設問で問う「外部委託管理」の説明としては適切でない。,正しい。委託先管理・契約上のリスク管理。,誤り。クラスタ数の自動決定は、この設問で問う「外部委託管理」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,委託先管理;AI契約;データ取扱い;再委託,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-040,Rebuild_Set20,検索性重視・非重複50問,case,責任分界点,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,AIサービスで、モデル提供者、アプリ開発者、業務利用部門の責任範囲を明確にした。最も近い目的はどれか。,勾配をゼロにするため,画像サイズを統一するため,トークン数を必ず増やすため,責任分界点を明確にするため,D,AIシステムは複数主体が関わるため、誰が何に責任を持つかを明確にすることが重要。,誤り。勾配をゼロにするためは、この設問で問う「責任分界点」の説明としては適切でない。,誤り。画像サイズを統一するためは、この設問で問う「責任分界点」の説明としては適切でない。,誤り。トークン数を必ず増やすためは、この設問で問う「責任分界点」の説明としては適切でない。,正しい。責任分界点を明確にするため。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,責任分界点;AI提供者;AI利用者;責任分担,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-041,Rebuild_Set20,検索性重視・非重複50問,case,用途外利用,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,社内FAQ用に作ったAIを、検証なしに人事評価の判断へ流用しようとした。最も問題となる観点はどれか。,過学習対策の不足だけ,想定用途外利用のリスク,画像認識モデルの回転不変性,バッチサイズの不足だけ,B,AIは想定用途や評価条件を超えて使うと危険。用途外利用では性能・公平性・法的/倫理的リスクが変わる。,誤り。過学習対策の不足だけは、この設問で問う「用途外利用」の説明としては適切でない。,正しい。想定用途外利用のリスク。,誤り。画像認識モデルの回転不変性は、この設問で問う「用途外利用」の説明としては適切でない。,誤り。バッチサイズの不足だけは、この設問で問う「用途外利用」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,用途外利用;想定用途;モデルカード;AIリスク,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-042,Rebuild_Set20,検索性重視・非重複50問,case,高リスク用途,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,娯楽用の文章生成と、採用・医療・融資の判断支援を同じ管理強度で扱った。最も適切な指摘はどれか。,影響の大きい用途ほど強い管理が必要,文章生成は常に医療AIより危険である,用途に関係なく精度だけ見ればよい,全AIを禁止すれば社会実装は完了する,A,採用・医療・融資など人に大きな影響を与える用途では、より強いリスク管理や人間の監督が必要。,正しい。影響の大きい用途ほど強い管理が必要。,誤り。文章生成は常に医療AIより危険であるは、この設問で問う「高リスク用途」の説明としては適切でない。,誤り。用途に関係なく精度だけ見ればよいは、この設問で問う「高リスク用途」の説明としては適切でない。,誤り。全AIを禁止すれば社会実装は完了するは、この設問で問う「高リスク用途」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,高リスク用途;採用AI;医療AI;融資AI,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-043,Rebuild_Set20,検索性重視・非重複50問,case,利用ログ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,生成AIの入力、出力、利用者、参照文書、時刻を必要範囲で記録した。最も近い目的はどれか。,モデルを必ず大規模化するため,確率分布を一様にするため,エポック数を自動で増やすため,問題発生時の追跡・監査を可能にするため,D,利用ログは、事故調査、監査、品質改善、責任確認に役立つ。ただし記録しすぎによるプライバシーにも注意する。,誤り。モデルを必ず大規模化するためは、この設問で問う「利用ログ」の説明としては適切でない。,誤り。確率分布を一様にするためは、この設問で問う「利用ログ」の説明としては適切でない。,誤り。エポック数を自動で増やすためは、この設問で問う「利用ログ」の説明としては適切でない。,正しい。問題発生時の追跡・監査を可能にするため。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,利用ログ;監査ログ;生成AI;追跡可能性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-044,Rebuild_Set20,検索性重視・非重複50問,case,ログのプライバシー,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,監査のためにログを残す一方で、不要な個人情報や機密情報を長期保存しない方針にした。最も適切な考え方はどれか。,ログは多いほど無条件に良い,ログをすべて削除すれば監査性は高まる,監査可能性とプライバシー保護の両立,機密情報をログに残すほど安全になる,C,ログは監査に役立つが、機密・個人情報の過剰保存は別のリスクになる。目的と保存期間を設計する。,誤り。ログは多いほど無条件に良いは、この設問で問う「ログのプライバシー」の説明としては適切でない。,誤り。ログをすべて削除すれば監査性は高まるは、この設問で問う「ログのプライバシー」の説明としては適切でない。,正しい。監査可能性とプライバシー保護の両立。,誤り。機密情報をログに残すほど安全になるは、この設問で問う「ログのプライバシー」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,ログ管理;プライバシー;保存期間;監査性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-045,Rebuild_Set20,検索性重視・非重複50問,case,説明の粒度,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,利用者向けには簡潔な説明、監査部門向けには詳細な評価結果とログを用意した。最も適切な考え方はどれか。,相手に応じて説明の粒度を変える,すべての相手に同じ専門用語だけを出す,説明は多ければ常に良い,説明可能性は利用者には不要である,A,説明は、利用者、開発者、監査者など相手によって必要な粒度が異なる。,正しい。相手に応じて説明の粒度を変える。,誤り。すべての相手に同じ専門用語だけを出すは、この設問で問う「説明の粒度」の説明としては適切でない。,誤り。説明は多ければ常に良いは、この設問で問う「説明の粒度」の説明としては適切でない。,誤り。説明可能性は利用者には不要であるは、この設問で問う「説明の粒度」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,説明の粒度;利用者説明;監査説明;透明性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-046,Rebuild_Set20,検索性重視・非重複50問,case,説明の限界,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,AIが「重要特徴量」を示したが、それだけで因果関係が証明されたと誤解された。最も適切な注意点はどれか。,特徴量重要度があれば検証は不要,特徴量重要度は因果関係の証明とは限らない,重要特徴量は常に違法である,因果関係はAIでは一切扱えない,B,特徴量重要度や説明は判断の手がかりだが、因果関係を直接証明するとは限らない。,誤り。特徴量重要度があれば検証は不要は、この設問で問う「説明の限界」の説明としては適切でない。,正しい。特徴量重要度は因果関係の証明とは限らない。,誤り。重要特徴量は常に違法であるは、この設問で問う「説明の限界」の説明としては適切でない。,誤り。因果関係はAIでは一切扱えないは、この設問で問う「説明の限界」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,特徴量重要度;因果関係;XAI;説明の限界,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-047,Rebuild_Set20,検索性重視・非重複50問,case,公平性と精度のトレードオフ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,公平性制約を入れると一部の精度指標が変化したため、利害関係者と許容基準を議論した。最も近い考え方はどれか。,公平性は精度に一切影響しない,精度が高ければ公平性の確認は不要,公平性と性能のトレードオフを明示的に扱う,公平性制約は常に禁止される,C,公平性対策は性能指標と緊張関係を持つことがある。目的・影響・許容基準を明確にする。,誤り。公平性は精度に一切影響しないは、この設問で問う「公平性と精度のトレードオフ」の説明としては適切でない。,誤り。精度が高ければ公平性の確認は不要は、この設問で問う「公平性と精度のトレードオフ」の説明としては適切でない。,正しい。公平性と性能のトレードオフを明示的に扱う。,誤り。公平性制約は常に禁止されるは、この設問で問う「公平性と精度のトレードオフ」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,公平性;トレードオフ;性能指標;許容基準,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-048,Rebuild_Set20,検索性重視・非重複50問,case,AIの社会受容,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,技術的には動くAIでも、利用者が不安を抱くため、説明会と問い合わせ窓口を用意した。最も近い観点はどれか。,勾配降下法の収束証明,画像分類の前処理,分散表現の次元削減,社会受容性・信頼形成,D,AI導入では、技術性能だけでなく、利用者の理解・信頼・納得も重要。,誤り。勾配降下法の収束証明は、この設問で問う「AIの社会受容」の説明としては適切でない。,誤り。画像分類の前処理は、この設問で問う「AIの社会受容」の説明としては適切でない。,誤り。分散表現の次元削減は、この設問で問う「AIの社会受容」の説明としては適切でない。,正しい。社会受容性・信頼形成。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,社会受容性;信頼形成;AI導入;説明会,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-049,Rebuild_Set20,検索性重視・非重複50問,case,過度な擬人化,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,チャットAIを「必ず正しく判断する人格」として宣伝し、利用者が出力を過信した。最も問題となる点はどれか。,AIの能力を誤認させる擬人化・過大表示,エポック数が少ないことだけ,標準化をしていないことだけ,クラスタ数が多いことだけ,A,AIを人間のように見せすぎたり能力を過大表示したりすると、利用者の過信を招く。,正しい。AIの能力を誤認させる擬人化・過大表示。,誤り。エポック数が少ないことだけは、この設問で問う「過度な擬人化」の説明としては適切でない。,誤り。標準化をしていないことだけは、この設問で問う「過度な擬人化」の説明としては適切でない。,誤り。クラスタ数が多いことだけは、この設問で問う「過度な擬人化」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,擬人化;過大表示;AI過信;チャットAI,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-050,Rebuild_Set20,検索性重視・非重複50問,case,免責表示の限界,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,画面に「AIは間違えることがあります」とだけ表示し、出力検証や問い合わせ導線は用意しなかった。最も適切な指摘はどれか。,注意書きがあればどんな用途でも安全になる,注意書きだけでは十分なリスク対策とは限らない,説明可能性は不要になる,利用者教育は法的に禁止される,B,免責表示は一要素だが、検証導線、問い合わせ、運用ルールなど実効的な対策が必要。,誤り。注意書きがあればどんな用途でも安全になるは、この設問で問う「免責表示の限界」の説明としては適切でない。,正しい。注意書きだけでは十分なリスク対策とは限らない。,誤り。説明可能性は不要になるは、この設問で問う「免責表示の限界」の説明としては適切でない。,誤り。利用者教育は法的に禁止されるは、この設問で問う「免責表示の限界」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,免責表示;注意書き;リスク対策;出力検証,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
