id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G1-085,数理統計,標準,中央値の説明として最も適切なものはどれか。,データを順に並べたとき中央に位置する値,すべての値を足して割る値,最も頻繁に出る値,分類の正答率,A,正解は「データを順に並べたとき中央に位置する値」。中央値はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-086,数理統計,標準,分散の説明として最も適切なものはどれか。,データの中央の値,最も多い値,分類の正答率,データのばらつきの大きさを表す指標,D,正解は「データのばらつきの大きさを表す指標」。分散はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-087,数理統計,標準,標準偏差の説明として最も適切なものはどれか。,正答率の別名,損失関数の最大値,分散の平方根でばらつきを元の単位で表す指標,平均の別名,C,正解は「分散の平方根でばらつきを元の単位で表す指標」。標準偏差はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-088,数理統計,難,相関係数の説明として最も適切なものはどれか。,1なら法律上の原因である,2変数の線形関係の強さを表すが因果関係を示すとは限らない,必ず因果関係を証明する,0なら必ず無関係である,B,正解は「2変数の線形関係の強さを表すが因果関係を示すとは限らない」。相関係数はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-089,数理統計,標準,正規化・標準化の説明として最も適切なものはどれか。,特徴量のスケールを整え学習を安定させる処理,ラベルを削除する処理,説明義務を消す処理,テストデータを訓練データに混ぜる処理,A,正解は「特徴量のスケールを整え学習を安定させる処理」。正規化・標準化はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-090,数理統計,難,次元削減の説明として最も適切なものはどれか。,データを必ず削除すること,正解ラベルを増やすこと,報酬を定義すること,情報をできるだけ保ちながら特徴量数を減らすこと,D,正解は「情報をできるだけ保ちながら特徴量数を減らすこと」。次元削減はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-091,数理統計,標準,主成分分析（PCA）の説明として最も適切なものはどれか。,強化学習の方策,著作権侵害の判定法,分散が大きい方向を見つけて低次元に変換する手法,分類専用の活性化関数,C,正解は「分散が大きい方向を見つけて低次元に変換する手法」。主成分分析（PCA）はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-092,古典的手法,標準,決定木の説明として最も適切なものはどれか。,報酬だけで学習する手法,条件分岐を木構造で表し分類・回帰を行う手法,必ず深層ニューラルネットワークである手法,文章生成専用の手法,B,正解は「条件分岐を木構造で表し分類・回帰を行う手法」。決定木はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-093,古典的手法,標準,ランダムフォレストの説明として最も適切なものはどれか。,複数の決定木を組み合わせるアンサンブル手法,単一ニューロンだけのモデル,RNNの一種,強化学習の報酬関数,A,正解は「複数の決定木を組み合わせるアンサンブル手法」。ランダムフォレストはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-094,古典的手法,標準,アンサンブル学習の説明として最も適切なものはどれか。,ひとつのモデルだけを必ず使う方法,ラベルなしデータだけを使う方法,法律上の共同著作,複数のモデルを組み合わせて予測性能を高める方法,D,正解は「複数のモデルを組み合わせて予測性能を高める方法」。アンサンブル学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-095,古典的手法,難,バギングについて、最も不適切な説明はどれか。,誤分類に重みを置いて逐次学習する方法,データを復元抽出して複数モデルを並列に学習し統合する方法,外部知識を検索して生成する方法,重みをすべて0にする方法,A,バギングの正しい理解は「データを復元抽出して複数モデルを並列に学習し統合する方法」。不適切な選択肢を選ぶ問題。,未
G1-096,古典的手法,難,ブースティングの説明として最も適切なものはどれか。,生成AIのプロンプト技術,弱学習器を逐次的に組み合わせ誤りを補正して性能を高める方法,複数モデルを完全独立に並列学習するだけの方法,特徴量をすべて削除する方法,B,正解は「弱学習器を逐次的に組み合わせ誤りを補正して性能を高める方法」。ブースティングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-097,古典的手法,標準,SVMの説明として最も適切なものはどれか。,クラス間のマージンが最大となる境界を求める手法,単語をベクトル化するだけの手法,報酬を最大化する行動選択,画像を生成する手法,A,正解は「クラス間のマージンが最大となる境界を求める手法」。SVMはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-098,古典的手法,標準,k-meansの説明として最も適切なものはどれか。,ラベル付き画像分類専用手法,文章生成モデル,報酬設計手法,データをk個のクラスタに分ける教師なし学習手法,D,正解は「データをk個のクラスタに分ける教師なし学習手法」。k-meansはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-099,古典的手法,難,k近傍法の説明として最も適切なものはどれか。,k個のGPUを使う方法,外部文書をk件検索するRAG専用手法,近いk個のデータの多数決などで予測する手法,ニューラルネットの層をk個にする方法,C,正解は「近いk個のデータの多数決などで予測する手法」。k近傍法はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-100,応用分野,標準,物体検出の説明として最も適切なものはどれか。,音声を文字に変換するタスク,画像内の物体の種類と位置を推定するタスク,画像全体を1カテゴリに分類するだけのタスク,文章を単語に分割するタスク,B,正解は「画像内の物体の種類と位置を推定するタスク」。物体検出はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
