id,set,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
R04-0059,Rebuild_Set04,term,IoU,1,0,0,1,予測枠と正解枠の重なり具合を評価する指標はどれか。,画像分類,IoU,セマンティックセグメンテーション,音声合成,B,IoUがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,正解。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,IoU;Intersection over Union
R04-0060,Rebuild_Set04,term,mAP,1,0,0,1,物体検出で複数クラスのAverage Precisionを平均した評価指標はどれか。,画像分類,セマンティックセグメンテーション,音声合成,mAP,D,mAPがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,mAP;Average Precision
R04-0061,Rebuild_Set04,case,FPN,2,1,0,2,異なる解像度の特徴を組み合わせ、小さい物体にも対応しやすくする構造はどれか。,Feature Pyramid Network,画像分類,セマンティックセグメンテーション,音声合成,A,Feature Pyramid Networkがこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,FPN;Feature Pyramid Network
R04-0062,Rebuild_Set04,term,Mask R-CNN,1,0,0,1,Faster R-CNNにマスク予測を加え、インスタンスセグメンテーションにも対応するモデルはどれか。,Mask R-CNN,画像分類,セマンティックセグメンテーション,音声合成,A,Mask R-CNNがこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,Mask R-CNN;インスタンスセグメンテーション
R04-0063,Rebuild_Set04,case,画像分類と検出,2,1,0,2,「犬が写っているか」だけでなく「犬がどこにいるか」も返すタスクはどれか。,画像分類,セマンティックセグメンテーション,物体検出,音声合成,C,物体検出がこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,正解。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,物体検出;画像分類
R04-0064,Rebuild_Set04,case,二段階と一段階,2,1,0,2,Faster R-CNNとYOLOの違いとして最も適切なものはどれか。,画像分類,セマンティックセグメンテーション,音声合成,Faster R-CNNは二段階、YOLOは一段階検出である,D,Faster R-CNNは二段階、YOLOは一段階検出であるがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,Faster R-CNN;YOLO;検出方式
R04-0065,Rebuild_Set04,case,検出評価,2,1,0,2,IoUが低い検出枠が多い場合、何が問題になっていると考えられるか。,物体位置の予測が正解枠と十分に重なっていない,画像分類,セマンティックセグメンテーション,音声合成,A,物体位置の予測が正解枠と十分に重なっていないがこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,IoU;物体検出;評価
R04-0066,Rebuild_Set04,term,セマンティックセグメンテーション,1,0,0,1,各画素に「道路」「空」などのクラスを割り当てるタスクはどれか。,セマンティックセグメンテーション,物体検出,画像分類,音声認識,A,セマンティックセグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,セマンティックセグメンテーション;画素単位
R04-0067,Rebuild_Set04,term,インスタンスセグメンテーション,1,0,0,1,同じクラスの複数人物を一人ひとり分けてマスク推定するタスクはどれか。,物体検出,インスタンスセグメンテーション,画像分類,音声認識,B,インスタンスセグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,インスタンスセグメンテーション;Mask R-CNN
R04-0068,Rebuild_Set04,term,パノプティックセグメンテーション,1,0,0,1,個々の物体分離と背景領域の画素分類を統合するタスクはどれか。,物体検出,パノプティックセグメンテーション,画像分類,音声認識,B,パノプティックセグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,パノプティックセグメンテーション
R04-0069,Rebuild_Set04,term,FCN,1,0,0,1,全結合層を使わず畳み込みのみで画素単位予測を行う基本モデルはどれか。,物体検出,画像分類,音声認識,FCN,D,FCNが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,FCN;Fully Convolutional Network
R04-0070,Rebuild_Set04,term,SegNet,1,0,0,1,エンコーダで縮小しデコーダで拡大するセグメンテーションモデルはどれか。,物体検出,SegNet,画像分類,音声認識,B,SegNetが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,SegNet;エンコーダ;デコーダ
R04-0071,Rebuild_Set04,term,U-Net,1,0,0,1,医療画像などで用いられ、エンコーダとデコーダ間にスキップ接続を持つモデルはどれか。,物体検出,画像分類,U-Net,音声認識,C,U-Netが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,正解。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,U-Net;医療画像;スキップ接続
R04-0072,Rebuild_Set04,term,PSPNet,1,0,0,1,Pyramid Pooling Moduleで複数解像度の文脈を集約するモデルはどれか。,物体検出,PSPNet,画像分類,音声認識,B,PSPNetが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,PSPNet;Pyramid Pooling Module
R04-0073,Rebuild_Set04,term,DeepLab,1,0,0,1,Atrous Convolutionを活用するセグメンテーションモデルはどれか。,DeepLab,物体検出,画像分類,音声認識,A,DeepLabが画像の画素単位処理やセグメンテーションの条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,DeepLab;Atrous Convolution
R04-0074,Rebuild_Set04,term,DeepLabV3+,1,0,0,1,ASPPとエンコーダ・デコーダ構造を組み合わせたDeepLab系列モデルはどれか。,DeepLabV3+,物体検出,画像分類,音声認識,A,DeepLabV3+が画像の画素単位処理やセグメンテーションの条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,DeepLabV3+;ASPP
R04-0075,Rebuild_Set04,term,ASPP,1,0,0,1,異なるdilation rateの畳み込みを並列に使うDeepLab系の機構はどれか。,物体検出,画像分類,ASPP,音声認識,C,ASPPが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,正解。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,ASPP;Atrous Spatial Pyramid Pooling
R04-0076,Rebuild_Set04,term,アップサンプリング,1,0,0,1,低解像度特徴マップを入力画像に近いサイズへ拡大する処理はどれか。,アップサンプリング,物体検出,画像分類,音声認識,A,アップサンプリングが画像の画素単位処理やセグメンテーションの条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,アップサンプリング;セグメンテーション
R04-0077,Rebuild_Set04,term,セグメンテーション比較,1,0,0,1,「画像全体に人」ではなく「人の領域を画素単位で塗り分ける」タスクはどれか。,物体検出,セグメンテーション,画像分類,音声認識,B,セグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,セグメンテーション;画素単位
R04-0078,Rebuild_Set04,case,医療画像セグメンテーション,2,1,0,2,臓器や病変領域を画素単位で抽出する画像AIタスクとして最も近いものはどれか。,物体検出,画像分類,音声認識,セグメンテーション,D,セグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,医療画像;セグメンテーション
R04-0079,Rebuild_Set04,term,セマンティックとインスタンス,1,0,0,1,同じクラスの複数個体を区別しないものと区別するものの組み合わせとして最も適切なものはどれか。,物体検出,画像分類,セマンティックセグメンテーションとインスタンスセグメンテーション,音声認識,C,セマンティックセグメンテーションとインスタンスセグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,正解。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,セマンティックセグメンテーション;インスタンスセグメンテーション
R04-0080,Rebuild_Set04,term,画素単位予測,1,0,0,1,画像の各ピクセルにクラスラベルを与える出力形式に最も関係するものはどれか。,物体検出,セグメンテーション,画像分類,音声認識,B,セグメンテーションが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,画素単位;セグメンテーション
R04-0081,Rebuild_Set04,term,Mask R-CNNの役割,1,0,0,1,Mask R-CNNがFaster R-CNNに追加した主な出力はどれか。,物体検出,物体ごとのマスク,画像分類,音声認識,B,物体ごとのマスクが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,Mask R-CNN;マスク;検出
R04-0082,Rebuild_Set04,case,DeepLabの狙い,2,1,0,2,DeepLabでAtrous Convolutionを使う主な狙いはどれか。,物体検出,画像分類,受容野を広げて広い文脈を捉えること,音声認識,C,受容野を広げて広い文脈を捉えることが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,正解。,「音声認識」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,DeepLab;Atrous Convolution;受容野
R04-0083,Rebuild_Set04,case,U-Netの接続,2,1,0,2,U-Netのスキップ接続が役立つ理由として最も適切なものはどれか。,物体検出,画像分類,音声認識,縮小過程の細かな位置情報を復元側で利用しやすくするため,D,縮小過程の細かな位置情報を復元側で利用しやすくするためが画像の画素単位処理やセグメンテーションの条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「画像分類」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの違いを文中条件から判断する。,,U-Net;スキップ接続;医療画像
R04-0084,Rebuild_Set04,term,姿勢推定,1,0,0,1,画像中の人の頭・肘・膝などの関節点を推定するタスクはどれか。,物体検出,k-means法,著作権法30条の4,姿勢推定,D,姿勢推定がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,正解。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,姿勢推定;関節点;骨格推定
R04-0085,Rebuild_Set04,term,OpenPose,1,0,0,1,複数人の骨格推定でParts Affinity Fieldsを導入した代表的手法はどれか。,OpenPose,物体検出,k-means法,著作権法30条の4,A,OpenPoseがこの設問の条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,OpenPose;Parts Affinity Fields
R04-0086,Rebuild_Set04,term,Parts Affinity Fields,1,0,0,1,OpenPoseで関節同士が同一人物に属するかをつなぐための情報はどれか。,Parts Affinity Fields,物体検出,k-means法,著作権法30条の4,A,Parts Affinity Fieldsがこの設問の条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Parts Affinity Fields;姿勢推定
R04-0087,Rebuild_Set04,term,CAM,1,0,0,1,Class Activation Mappingの略で、画像のどこを根拠にしたかを可視化する手法はどれか。,物体検出,CAM,k-means法,著作権法30条の4,B,CAMがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,CAM;Class Activation Mapping;XAI
R04-0088,Rebuild_Set04,term,Grad-CAM,1,0,0,1,CNNの勾配情報を使って判断根拠をヒートマップ化する手法はどれか。,Grad-CAM,物体検出,k-means法,著作権法30条の4,A,Grad-CAMがこの設問の条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Grad-CAM;ヒートマップ;XAI
R04-0089,Rebuild_Set04,case,画像XAI,2,1,0,2,医療画像AIの判断根拠を画像上で確認したい場合、関連が深い手法はどれか。,物体検出,k-means法,Grad-CAM,著作権法30条の4,C,Grad-CAMがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,正解。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Grad-CAM;医療画像;説明可能AI
R04-0090,Rebuild_Set04,case,XAI限界,2,1,0,2,Grad-CAMのヒートマップについて最も適切な注意点はどれか。,物体検出,k-means法,著作権法30条の4,判断根拠理解を助けるが、完全な因果証明ではない,D,判断根拠理解を助けるが、完全な因果証明ではないがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,正解。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Grad-CAM;XAI;限界
R04-0091,Rebuild_Set04,term,説明可能AI,1,0,0,1,AIの判断根拠や予測過程を人間に理解しやすくする取り組みはどれか。,物体検出,k-means法,著作権法30条の4,説明可能AI,D,説明可能AIがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,正解。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,説明可能AI;XAI;透明性
R04-0092,Rebuild_Set04,term,顔認証,1,0,0,1,顔画像から本人確認を行う応用として最も適切なものはどれか。,物体検出,k-means法,顔認証,著作権法30条の4,C,顔認証がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,正解。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,顔認証;画像認識
R04-0093,Rebuild_Set04,term,深層距離学習,1,0,0,1,同一人物は近く、別人は遠くなる特徴空間を学習する考え方はどれか。,物体検出,k-means法,深層距離学習,著作権法30条の4,C,深層距離学習がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,正解。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,深層距離学習;顔認証;Triplet Loss
R04-0094,Rebuild_Set04,term,Siamese Network,1,0,0,1,2つの入力を共有重みのネットワークで処理し、距離を比較する構造はどれか。,Siamese Network,物体検出,k-means法,著作権法30条の4,A,Siamese Networkがこの設問の条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Siamese Network;距離学習
R04-0095,Rebuild_Set04,term,Triplet Loss,1,0,0,1,アンカー・ポジティブ・ネガティブの三つ組で距離関係を学習する損失はどれか。,物体検出,Triplet Loss,k-means法,著作権法30条の4,B,Triplet Lossがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,Triplet Loss;深層距離学習
R04-0096,Rebuild_Set04,term,音声認識,1,0,0,1,音声データをテキストへ変換する技術はどれか。,物体検出,k-means法,音声認識,著作権法30条の4,C,音声認識がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,正解。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,音声認識;STT
R04-0097,Rebuild_Set04,term,音声合成,1,0,0,1,テキストを音声へ変換する技術はどれか。,物体検出,音声合成,k-means法,著作権法30条の4,B,音声合成がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,正解。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,音声合成;TTS
R04-0098,Rebuild_Set04,term,MFCC,1,0,0,1,音声認識で使われる、メル尺度に基づく代表的な音声特徴量はどれか。,物体検出,k-means法,著作権法30条の4,メル周波数ケプストラム係数,D,メル周波数ケプストラム係数がこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,正解。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,MFCC;音声認識
R04-0099,Rebuild_Set04,term,CTC,1,0,0,1,音声フレーム数と文字列長が一致しない問題を扱う系列学習手法はどれか。,Connectionist Temporal Classification,物体検出,k-means法,著作権法30条の4,A,Connectionist Temporal Classificationがこの設問の条件に対応する。,正解。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,CTC;音声認識
R04-0100,Rebuild_Set04,case,画像AI公平性,2,1,0,2,顔認識モデルが特定属性で誤認識しやすい場合、特に関係が深い観点はどれか。,物体検出,k-means法,公平性・バイアス,著作権法30条の4,C,公平性・バイアスがこの設問の条件に対応する。,「物体検出」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,正解。,「著作権法30条の4」はこの設問の条件とは異なる。,画像・音声・倫理のどの論点かを文脈で切り分ける。,,公平性;バイアス;顔認識
